data,sku,cod_filial,filial,unidade,demanda,faturamento,num_transacoes,clientes_unicos
2024-01-02,9,101032,RUA,KG,0.43000000000000005,30.12,3,3
2024-01-03,9,101032,RUA,KG,0.23800000000000002,16.65,2,2
2024-01-04,9,101032,RUA,KG,0.4,27.97,2,2
2024-01-05,9,101032,RUA,KG,0.378,26.450000000000003,2,2
2024-01-06,9,101032,RUA,KG,0.766,53.58,4,4
2024-01-08,9,101032,RUA,KG,0.34800000000000003,24.34,2,2
2024-01-09,9,101032,RUA,KG,1.284,89.82,6,6
2024-01-10,9,101032,RUA,KG,0.122,8.55,2,2
2024-01-11,9,101032,RUA,KG,0.58,40.58,4,4
2024-01-12,9,101032,RUA,KG,0.302,21.14,2,2
2024-01-13,9,101032,RUA,KG,0.42,29.37,3,3
2024-01-15,9,101032,RUA,KG,0.252,17.64,2,2
2024-01-16,9,101032,RUA,KG,0.436,30.52,3,3
2024-01-17,9,101032,RUA,KG,0.336,23.52,3,3
2024-01-18,9,101032,RUA,KG,0.9,62.98,5,5
2024-01-19,9,101032,RUA,KG,0.202,14.15,2,2
2024-01-22,9,101032,RUA,KG,0.744,52.06,4,4
2024-01-23,9,101032,RUA,KG,0.262,18.33,2,2
2024-01-24,9,101032,RUA,KG,1.032,72.21000000000001,5,5
2024-01-26,9,101032,RUA,KG,3.032,211.95,12,12
2024-01-27,9,101032,RUA,KG,0.996,69.63,6,6
2024-01-29,9,101032,RUA,KG,1.6760000000000002,117.15,8,8
2024-01-30,9,101032,RUA,KG,3.117,217.9,15,15
2024-01-31,9,101032,RUA,KG,1.822,127.36,9,9
2024-02-01,9,101032,RUA,KG,0.908,63.46,3,2
2024-02-02,9,101032,RUA,KG,1.202,84.02,6,6
2024-02-03,9,101032,RUA,KG,1.428,99.82000000000001,8,8
2024-02-05,9,101032,RUA,KG,1.75,122.32,8,8
2024-02-06,9,101032,RUA,KG,2.218,155.05,12,11
2024-02-07,9,101032,RUA,KG,3.46,241.88,16,16
2024-02-08,9,101032,RUA,KG,2.203,154.01,12,12
2024-02-09,9,101032,RUA,KG,2.517,175.95,13,13
2024-02-10,9,101032,RUA,KG,2.628,183.71,13,13
2024-02-15,9,101032,RUA,KG,0.886,61.92,6,6
2024-02-16,9,101032,RUA,KG,5.535,386.94,25,25
2024-02-17,9,101032,RUA,KG,2.352,164.42000000000002,14,14
2024-02-19,9,101032,RUA,KG,2.406,168.19,13,13
2024-02-20,9,101032,RUA,KG,1.8699999999999999,130.71,12,12
2024-02-21,9,101032,RUA,KG,1.636,114.36,10,10
